Identifier,,Lat,Lon,MajAxis,MinAxis,PosAng,VLSR,vel disp,d,Reff,N0H2,mass,density,n,alphavir,xrad,vel disp not fwhm
G114.784+00.819+002.28,,114.784,0.819,1003,482,86,2.28,1.55,0.55,2.17,1.20E+21,1076.7,72.9,366,5.6,4.1447,0.6582243952
G114.795+05.015-002.93,,114.795,5.015,290,80,166,-2.93,0.91,0.23,0.2,5.10E+20,4.3,34.7,1900,44.5,0.382,0.3864414191
G114.807-01.065-015.08,,114.807,-1.065,401,233,-138,-15.08,2.39,0.29,0.51,9.70E+20,31.7,39.4,850,105.9,0.9741,1.014939551
G114.898+02.371+001.92,,114.898,2.371,214,118,157,1.92,0.52,0.33,0.29,4.90E+20,10.2,37.8,1408,9,0.5539,0.2208236681
G114.898+03.703-065.78,,114.898,3.703,287,35,177,-65.78,0.99,5.35,3.02,3.10E+20,448.1,15.7,56,7.7,5.7682,0.4204142911
G114.917+03.173-064.37,,114.917,3.173,311,97,145,-64.37,1.26,5.21,5.16,1.10E+21,6014.9,72,152,1.6,9.8556,0.5350727342
G114.951-04.169-035.74,,114.951,-4.169,153,53,138,-35.74,0.92,2.71,1.37,4.90E+20,148,25.3,202,9.1,2.6167,0.3906880281
G114.966+04.628-079.63,,114.966,4.628,418,85,176,-79.63,1.66,6.76,7.26,7.30E+20,6512.7,39.3,59,3.6,13.8666,0.7049370942
G114.967+02.539-015.58,,114.967,2.539,194,72,-171,-15.58,0.61,0.73,0.49,3.80E+20,17.9,24,540,11.8,0.9359,0.2590431491
G114.969+03.343-006.49,,114.969,3.343,198,74,53,-6.49,0.56,0.31,0.21,4.00E+20,3,21.7,1124,25.5,0.4011,0.2378101041
G115.059-01.121-004.46,,115.059,-1.121,568,475,-140,-4.46,1.26,0.27,0.81,7.30E+20,71.9,34.7,467,20.6,1.5471,0.5350727342
G115.063+02.975-005.04,,115.063,2.975,300,122,170,-5.04,0.77,0.73,0.79,5.80E+20,73.2,36.9,507,7.4,1.5089,0.3269888931
G115.082+00.985-007.84,,115.082,0.985,134,51,106,-7.84,0.76,0.97,0.45,5.70E+20,26.9,43.1,1055,11.2,0.8595,0.3227422841
G115.095+03.874-009.36,,115.095,3.874,358,163,176,-9.36,0.72,0.33,0.45,9.70E+20,43.4,68.9,1680,6.2,0.8595,0.3057558481
G115.128-01.020-044.11,,115.128,-1.02,437,55,174,-44.11,0.92,3.4,3,6.30E+20,1206.8,42.8,156,2.4,5.73,0.3906880281
G115.151+03.379-013.17,,115.151,3.379,443,330,-141,-13.17,1.84,0.73,1.59,8.20E+20,253.9,32,219,24.7,3.0369,0.7813760563
G115.166+00.888-006.51,,115.166,0.888,183,77,152,-6.51,0.97,0.61,0.41,3.90E+20,12.8,24.1,639,35.2,0.7831,0.4119210731
G115.169+03.572-016.70,,115.169,3.572,125,47,65,-16.7,0.96,0.73,0.31,7.50E+20,18.6,61.9,2186,17.6,0.5921,0.4076744641
G115.207+02.830-011.96,,115.207,2.83,734,132,-163,-11.96,0.99,0.92,1.63,1.20E+21,542.3,64.9,435,3.4,3.1133,0.4204142911
G115.232+02.691-011.33,,115.232,2.691,235,87,-156,-11.33,0.89,0.87,0.7,6.00E+20,59.1,38,590,10.9,1.337,0.3779482011
G115.265+03.616-061.27,,115.265,3.616,347,203,175,-61.27,0.91,4.91,7.42,8.30E+20,9818,56.8,83,0.7,14.1722,0.3864414191
G115.281+01.113-005.43,,115.281,1.113,150,87,47,-5.43,1.62,0.65,0.42,8.70E+20,52.4,95.6,2500,24.3,0.8022,0.6879506582
G115.333+04.084-022.93,,115.333,4.084,2103,1413,-166,-22.93,3.01,1.15,11.37,1.50E+21,30552.8,75.3,72,3.9,21.7167,1.278229309
G115.360-01.323-047.11,,115.36,-1.323,256,114,167,-47.11,1.82,3.65,3.54,8.90E+20,2539.5,64.5,198,5.4,6.7614,0.7728828383
G115.361-03.175-044.80,,115.361,-3.175,115,42,-176,-44.8,0.66,3.45,1.31,9.80E+20,440.1,81.2,675,1.5,2.5021,0.2802761941
G115.366+03.590-068.92,,115.366,3.59,170,94,169,-68.92,0.73,5.64,4.02,3.70E+20,765,15,40,3.3,7.6782,0.3100024571
G115.370-00.696-054.04,,115.37,-0.696,208,67,166,-54.04,0.53,4.26,2.84,8.20E+20,1365.4,54,207,0.7,5.4244,0.2250702771
G115.426+03.142-021.40,,115.426,3.142,336,250,-171,-21.4,0.99,0.69,1.14,5.70E+20,100.4,24.7,236,13,2.1774,0.4204142911
G115.502+01.840-008.32,,115.502,1.84,2475,1036,-170,-8.32,2.67,0.77,7.06,1.80E+21,17659.3,112.9,174,3.3,13.4846,1.133844603
G115.517+02.528-053.60,,115.517,2.528,265,121,95,-53.6,0.74,4.2,4.27,5.20E+20,1800.3,31.5,80,1.5,8.1557,0.3142490661
G115.538+00.268-046.82,,115.538,0.268,168,119,129,-46.82,1.47,3.62,2.9,7.60E+20,1325.1,50.2,188,5.5,5.539,0.6242515232
G115.584-02.721-001.96,,115.584,-2.721,2708,2279,119,-1.96,1.56,0.33,4.62,1.00E+21,3113.8,46.5,110,4.2,8.8242,0.6624710042
G115.639+01.167-003.72,,115.639,1.167,325,101,141,-3.72,1.13,0.32,0.33,4.00E+20,3.8,11.5,384,125.4,0.6303,0.4798668172
G115.666-01.609-040.66,,115.666,-1.609,1433,431,-179,-40.66,2.16,3.09,13.87,2.20E+21,68474.3,113.3,89,1.1,26.4917,0.9172675443
G115.682-01.364-043.20,,115.682,-1.364,91,49,127,-43.2,1.67,3.31,1.2,4.10E+20,110.9,24.4,222,35,2.292,0.7091837032
G115.696+03.706-003.70,,115.696,3.706,2606,719,99,-3.7,1.71,0.31,2.4,1.30E+21,715,39.5,179,11.3,4.584,0.7261701392
G115.718+00.288-047.01,,115.718,0.288,148,66,119,-47.01,0.86,3.63,2.01,7.20E+20,519.4,41,222,3.3,3.8391,0.3652083741
G115.735+03.150-062.72,,115.735,3.15,158,112,111,-62.72,2.18,5.03,3.78,6.80E+20,2013.2,44.9,129,10.3,7.2198,0.9257607623
G115.758+02.553-014.31,,115.758,2.553,209,127,51,-14.31,1.73,0.77,0.71,7.60E+20,88.5,55.2,843,28.1,1.3561,0.7346633572
G115.778+05.105-014.69,,115.778,5.105,419,281,-171,-14.69,0.81,0.71,1.39,8.00E+20,265.5,44,346,4,2.6549,0.3439753291
