ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,delta vel disp,lco,delta l,mvir,delta mvir,nvox,tpk
C618,85.478,-70.109,244.5,6.1,5.5,74,6.5,0.71,1.53,0.4,10.3,0.33,15900,1010,77,1.25
C619,85.484,-70.744,227,5.4,4.3,90,,,0.72,0.51,2.6,1.17,0,0,30,0.75
C620,85.496,-70.903,222.1,6.1,8,20,9.8,0.62,2.39,0.3,16.9,0.32,57900,940,157,0.91
C621,85.507,-70.493,230.3,12.5,4.9,39,8.3,0.46,1.05,0.47,6.9,0.84,9600,1070,87,1.15
C622,85.508,-71.333,211.5,5.7,5.1,24,5,1.03,1.18,0.53,5.6,0.65,7300,1620,41,1.04
C623,85.513,-70.585,220.5,3.8,3.2,143,,,1.6,1.28,7.3,0.52,0,0,46,1.09
C624,85.572,-70.795,225.2,5.7,4.7,23,3.3,1.12,0.7,0.58,7,0.58,1700,1760,37,2.04
C625,85.584,-71.372,218.6,14.4,6.6,40,15.4,0.16,1.75,0.22,38.7,0.18,49200,460,268,1.95
C626,85.604,-71.311,216.3,13.7,8.1,27,17.7,0.13,1.65,0.14,51,0.11,50500,340,409,2.07
C627,85.633,-71.348,215.6,8.8,3.5,33,,,0.85,0.72,6.1,0.83,0,0,19,1.06
C628,85.656,-71.299,210.6,7.7,3.1,133,,,1.14,0.59,4.7,0.98,0,0,15,1.14
C629,85.709,-69.728,227.7,12.3,6,3,12.5,0.26,1.66,0.23,30.5,0.16,36000,590,175,2.39
C630,85.757,-69.269,239.9,9.5,5.2,41,8.3,0.69,1.12,0.62,11.8,1.22,10900,1360,31,2.22
C631,85.758,-69.733,225.2,4.7,4.2,7,,,1.19,0.78,7.4,0.61,0,0,46,1.54
C632,85.76,-69.753,241.4,9.4,4.8,117,5.7,0.27,1.93,0.23,24.4,0.12,22200,520,201,2.34
C633,85.778,-69.272,242.5,4.6,2.7,104,,,0.81,1.31,4.2,1.7,0,0,13,1.72
C634,85.799,-69.339,247.7,6.7,5.6,89,7.6,0.38,1.15,0.23,13.6,0.14,10500,610,144,1.6
C635,85.874,-69.431,249.1,16.9,8.4,152,20.4,0.08,1.93,0.09,104.1,0.04,78800,190,850,3.13
