ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,xco alphavir,area,perimeter
154,2,1077,1342,51,50,50,398.6,5.98,8.393,921.1,nan,nan,6.897,5.066,nan,0.6923,nan,111.5,47.78
155,2,719,1658,33,67,94,746.6,8.199,8.39,1725,nan,nan,3.873,6.501,nan,1.238,nan,149.4,56.74
156,2,1488,712,38,111,116,915.4,9.108,8.383,2115,nan,nan,5.274,9.65,nan,3.337,nan,247.5,86.61
157,2,1174,865,50,163,163,1296,10.8,8.381,2994,nan,nan,8.366,14.17,1.749,51.55,nan,363.4,95.57
158,2,1309,1033,65,91,98,774.8,8.372,8.379,1790,nan,nan,4.044,10.83,nan,1.376,nan,202.9,77.65
159,2,1277,1280,69,165,180,1419,11.35,8.378,3278,nan,nan,12.04,5.996,nan,6.455,nan,367.9,104.5
160,2,1342,1299,69,54,76,598.9,7.372,8.377,1384,nan,nan,3.906,5.671,nan,0.3487,nan,120.4,50.77
161,2,1187,1345,47,98,98,777.7,8.372,8.377,1797,nan,nan,6.235,11.25,nan,5.672,nan,218.5,71.67
162,2,1027,1372,55,67,67,532.4,6.922,8.357,1230,nan,nan,6.507,7.283,nan,0.6838,nan,149.4,56.74
163,2,1067,795,47,118,118,933,9.186,8.354,2156,nan,nan,7.173,12.19,nan,2.689,nan,263.1,80.63
164,2,1145,582,58,158,173,1368,11.12,8.347,3163,nan,nan,9.294,7.251,nan,2.982,nan,352.3,101.5
165,2,1372,1454,43,63,63,499.7,6.712,8.342,1155,nan,nan,7.679,5.752,nan,0.8223,nan,140.5,53.76
166,2,508,1878,21,69,69,547.2,7.025,8.342,1265,nan,nan,5.795,8.388,nan,0.6238,nan,153.9,59.73
167,2,1180,600,54,124,149,1178,10.32,8.341,2723,nan,nan,9.502,4.989,nan,3.768,nan,276.5,89.59
168,2,1319,458,37,71,71,563.8,7.126,8.34,1303,nan,nan,7.773,6.433,nan,0.5863,nan,158.3,56.74
169,2,1317,1239,66,70,70,552.3,7.075,8.338,1276,nan,nan,9.836,5.061,nan,0.6479,nan,156.1,62.72
170,2,1160,667,49,149,162,1280,10.76,8.301,2957,nan,nan,14.06,4.857,nan,4.306,nan,332.2,95.57
171,2,1058,758,54,51,51,403.8,6.039,8.296,933.3,nan,nan,4.84,7.41,nan,1.51,nan,113.7,50.77
172,2,1085,550,48,156,156,1235,10.56,8.278,2854,nan,nan,8.994,12.35,nan,14.48,nan,347.8,86.61
173,2,1164,1521,25,87,88,689.3,7.933,8.276,1593,nan,nan,5.884,9.1,nan,3.129,nan,194,77.65
174,2,1237,1550,27,125,144,1124,10.15,8.257,2599,nan,nan,4.752,5.622,nan,0.4308,nan,278.7,107.5
175,2,1179,482,35,51,51,403.4,6.039,8.256,932.4,nan,nan,6.858,5.304,nan,0.9196,nan,113.7,47.78
176,2,1407,770,36,71,71,560.4,7.126,8.234,1295,nan,nan,8.718,5.787,nan,1.697,nan,158.3,59.73
177,2,1044,809,46,57,57,449.5,6.385,8.234,1039,nan,nan,7.695,5.24,nan,1.092,nan,127.1,50.77
178,2,1133,802,52,152,184,1436,11.47,8.219,3319,5.272,0.2109,4.453,10.74,nan,3.59,nan,338.9,110.5
179,2,1176,846,58,61,61,480.4,6.605,8.209,1110,nan,nan,6.876,6.296,nan,0.4974,nan,136,50.77
180,2,1300,1298,68,53,54,424.7,6.214,8.209,981.5,nan,nan,7.742,4.17,nan,1.979,nan,118.2,50.77
181,2,1142,1485,36,129,176,1375,11.22,8.196,3178,nan,nan,8.504,4.765,nan,2.058,nan,287.6,95.57
182,2,1076,1376,39,51,51,401.1,6.039,8.18,927,nan,nan,6.864,5.231,nan,1.032,nan,113.7,47.78
183,2,1121,674,49,116,148,1163,10.29,8.167,2687,nan,nan,6.69,5.02,nan,1.049,nan,258.6,77.65
184,2,504,1893,38,64,64,502,6.765,8.153,1160,nan,nan,5.758,7.797,nan,1.668,nan,142.7,56.74
185,2,642,1762,18,66,93,720.2,8.155,8.146,1664,5.321,0.2233,3.034,5.847,nan,0.9546,nan,147.2,68.69
186,2,1139,524,50,152,152,1194,10.43,8.141,2760,nan,nan,6.117,17.75,nan,30.82,nan,338.9,95.57
187,2,1144,373,31,64,64,500.6,6.765,8.107,1157,nan,nan,7.7,5.89,nan,0.5625,nan,142.7,53.76
188,2,1036,1381,56,92,92,717.3,8.111,8.081,1658,nan,nan,4.458,14.73,nan,7.009,nan,205.1,86.61
189,2,1146,568,56,66,66,514.1,6.87,8.061,1188,nan,nan,5.035,9.451,nan,1.361,nan,147.2,62.72
190,2,1104,1332,38,60,60,467.9,6.551,8.051,1081,nan,nan,9.018,4.704,nan,2.366,nan,133.8,53.76
191,2,1072,1269,38,58,58,452.8,6.44,8.048,1046,nan,nan,5.144,8.325,nan,0.8383,nan,129.3,56.74
192,2,1234,1484,27,83,83,645.8,7.704,8.026,1492,nan,nan,4.649,12.71,nan,5.442,nan,185.1,77.65
193,2,1126,528,51,54,54,418.9,6.214,7.959,968.1,nan,nan,5.817,6.609,nan,0.7111,nan,120.4,50.77
194,2,1150,535,54,64,64,496.5,6.765,7.942,1147,nan,nan,5.476,8.344,nan,1.383,nan,142.7,53.76
195,2,1376,461,34,76,76,589,7.372,7.937,1361,nan,nan,5.738,9.403,nan,0.8188,nan,169.5,59.73
196,2,1119,516,52,72,72,557.6,7.176,7.936,1289,nan,nan,9.558,5.328,nan,2.546,nan,160.5,59.73
197,2,1209,1443,36,69,69,532.9,7.025,7.928,1232,nan,nan,7.918,6.254,nan,1.209,nan,153.9,59.73
198,2,1390,683,32,69,69,532.3,7.025,7.891,1230,nan,nan,9.505,5.179,nan,1.258,nan,153.9,59.73
199,2,1049,784,42,52,52,401.5,6.098,7.883,927.8,nan,nan,10.27,3.674,nan,0.6883,nan,115.9,62.72
200,2,1377,1453,47,79,79,607.1,7.516,7.868,1403,nan,nan,10.61,5.313,nan,3.619,nan,176.1,68.69
